P0A9Q5	GO:0005829 GO:0009329	GO:0005524 GO:0003989 GO:0016743 GO:0003677 GO:0008270 GO:0003729	GO:0006633 GO:0042759 GO:0017148 GO:2001295	K01963	PF01039 PF17848	
P45768	GO:0005887 GO:0043190 GO:0005886	GO:0022857	GO:0006865	K09971	PF00528	
P0A988	GO:0005829 GO:0009360	GO:0003887 GO:0042802 GO:0003677 GO:0008408	GO:0006974 GO:0006271	K02338	PF02767 PF00712 PF02768	
P28630	GO:0009360	GO:0003677 GO:0003887	GO:0006261	K02340	PF06144 PF14840	
P0AAF6	GO:0005886 GO:0055052	GO:0015426 GO:0005524 GO:0016887	GO:0097638	K10000	PF00005	
P28903	GO:0031250	GO:0032564 GO:0008270 GO:0032567 GO:0032556 GO:0008998 GO:0005524 GO:0051065	GO:0015949 GO:0006260 GO:0009265	K21636	PF13597 PF03477	
P0ABF4	GO:0031471	GO:0005198 GO:0042802	GO:0046336 GO:0034214	K04027	PF00936	
P00579	GO:0005829	GO:0016987 GO:0003677 GO:0003700	GO:0001123 GO:0009408	K03086	PF04545 PF04546 PF04539 PF03979 PF04542 PF00140	
P0AG96	GO:0005886 GO:0031522 GO:0016021 GO:0005887	GO:0015450 GO:0008320	GO:0006886 GO:0032978 GO:0043952 GO:0009306 GO:0065002 GO:0006616	K03073	PF00584	
D3INY1	None	GO:0008800	GO:0046677 GO:0030655	None	None	
Q47066	None	GO:0008800	GO:0046677 GO:0030655	K18767	None	
P09152	GO:0016020 GO:0031224 GO:0031235 GO:0044799	GO:0009055 GO:0043546 GO:0046872 GO:0008940 GO:0051539	GO:0042126 GO:0042128 GO:0009061	K00370	PF00384 PF01568 PF14710	
P11350	GO:0005887 GO:0005886 GO:0044799 GO:0009325	GO:0020037 GO:0046872 GO:0008940 GO:0009055	GO:0009061 GO:0042128 GO:0019645	K00374	PF02665	
P22188	GO:0005829	GO:0008765 GO:0000287 GO:0005524	GO:0051301 GO:0009252 GO:0008360 GO:0071555 GO:0007049	K01928	PF01225 PF02875 PF08245	
P76364	GO:0005737	GO:0008092 GO:0046872	GO:0051495	K18838	PF06154	
P0AAF3	GO:0005829 GO:0005886	GO:0015612 GO:0016887 GO:0005524	GO:0042882	K10539	PF00005	
P28635	GO:0055052 GO:0046658 GO:0030288	None	GO:0048473	K02073	PF03180	
P09378	GO:0005737	GO:0003700 GO:0043565	GO:0006351 GO:0045893 GO:0019299	K02854	PF12833 PF02311	
P07000	GO:0005886 GO:0016020	GO:0016298 GO:0016747 GO:0004622	GO:0006629	K01048	PF12146	
P0ABQ4	GO:0005829	GO:0050661 GO:0004146 GO:0051871 GO:0051870 GO:0070402 GO:0070401 GO:0005542	GO:0042493 GO:0046655 GO:0006730 GO:0046452 GO:0031427 GO:0046677 GO:0006545 GO:0046654	K00287	PF00186	
P0A6D5	GO:0005829	GO:0004764 GO:0052733 GO:0052734 GO:0050661 GO:0030266	GO:0009423 GO:0019632 GO:0009073	K05887	PF18317 PF08501	
P00894	GO:0005829 GO:0005948	GO:0003984 GO:1990610	GO:0009097 GO:0009099	K01653	PF10369	
P08368	GO:0032993 GO:0005829	GO:0001216 GO:0000986 GO:0003700 GO:0000156 GO:0000976 GO:0042802	GO:0045893	K07663	PF00486 PF00072	
P24193	None	GO:0016829	GO:0046892 GO:0051604	K04655	PF02769 PF00586	
P0ABU5	GO:0005829	GO:0016829	GO:0008299 GO:0045828	None	None	
P37629	None	None	None	None	PF13258	
P0ABS5	GO:1990077 GO:0005737	GO:0008270 GO:0003896 GO:0003677	GO:0006269	K02316	PF08278 PF01807 PF10410 PF08275	
P0ACB0	GO:1990077 GO:0005829	GO:0003678 GO:0003677 GO:0004386 GO:0005524 GO:0042802	GO:0006260 GO:0010212 GO:0006269 GO:0006268	K02314	PF00772 PF03796	
