Escherichia coli	GO:0016114	terpenoid biosynthetic process	1464	0.1173
Escherichia coli	GO:0009228	thiamine biosynthetic process	1182	0.0947
Escherichia coli	GO:0019288	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway	974	0.0781
Escherichia coli	GO:0006457	protein folding	874	0.0701
Escherichia coli	GO:0009229	thiamine diphosphate biosynthetic process	692	0.0555
Escherichia coli	GO:0052865	1-deoxy-D-xylulose 5-phosphate biosynthetic process	490	0.0393
Escherichia coli	GO:0046777	protein autophosphorylation	361	0.0289
Escherichia coli	GO:0009252	peptidoglycan biosynthetic process	358	0.0287
Escherichia coli	GO:0008360	regulation of cell shape	358	0.0287
Escherichia coli	GO:0052572	response to host immune response	350	0.0281
Escherichia coli	GO:0045967	negative regulation of growth rate	350	0.0281
Escherichia coli	GO:0045717	negative regulation of fatty acid biosynthetic process	350	0.0281
Escherichia coli	GO:0043388	positive regulation of DNA binding	350	0.0281
Escherichia coli	GO:0043086	negative regulation of catalytic activity	350	0.0281
Escherichia coli	GO:0043085	positive regulation of catalytic activity	350	0.0281
Escherichia coli	GO:0032091	negative regulation of protein binding	350	0.0281
Escherichia coli	GO:0006468	protein phosphorylation	350	0.0281
Escherichia coli	GO:0006355	regulation of transcription, DNA-templated	322	0.0258
Escherichia coli	GO:0006541	glutamine metabolic process	306	0.0245
Escherichia coli	GO:0050992	dimethylallyl diphosphate biosynthetic process	306	0.0245
Escherichia coli	GO:0006537	glutamate biosynthetic process	303	0.0243
Escherichia coli	GO:0000160	phosphorelay signal transduction system	252	0.0202
Escherichia coli	GO:0006808	regulation of nitrogen utilization	204	0.0164
Escherichia coli	GO:0006807	nitrogen compound metabolic process	204	0.0164
Escherichia coli	GO:0008299	isoprenoid biosynthetic process	73	0.0059
Escherichia coli	GO:0009408	response to heat	68	0.0055
Escherichia coli	GO:0046656	folic acid biosynthetic process	68	0.0055
Escherichia coli	GO:0046654	tetrahydrofolate biosynthetic process	68	0.0055
Escherichia coli	GO:0009399	nitrogen fixation	64	0.0051
Escherichia coli	GO:0042026	protein refolding	48	0.0038
Escherichia coli	GO:0030163	protein catabolic process	45	0.0036
Escherichia coli	GO:0006935	chemotaxis	43	0.0034
Escherichia coli	GO:0051701	biological process involved in interaction with host	39	0.0031
Escherichia coli	GO:0006265	DNA topological change	34	0.0027
Escherichia coli	GO:0006261	DNA-templated DNA replication	34	0.0027
Escherichia coli	GO:0034220	ion transmembrane transport	33	0.0026
Escherichia coli	GO:0006635	fatty acid beta-oxidation	31	0.0025
Escherichia coli	GO:0065002	intracellular protein transmembrane transport	29	0.0023
Escherichia coli	GO:0017038	protein import	29	0.0023
Escherichia coli	GO:0006605	protein targeting	29	0.0023
Escherichia coli	GO:0046677	response to antibiotic	23	0.0018
Escherichia coli	GO:0006260	DNA replication	22	0.0018
Escherichia coli	GO:0019430	removal of superoxide radicals	20	0.0016
Escherichia coli	GO:0007155	cell adhesion	19	0.0015
Escherichia coli	GO:0017004	cytochrome complex assembly	17	0.0014
Escherichia coli	GO:0006071	glycerol metabolic process	16	0.0013
Escherichia coli	GO:0006817	phosphate ion transport	16	0.0013
Escherichia coli	GO:0071555	cell wall organization	14	0.0011
Escherichia coli	GO:0018277	protein deamination	13	0.0010
Escherichia coli	GO:0006482	protein demethylation	13	0.0010
Escherichia coli	GO:0006352	DNA-templated transcription, initiation	12	0.0010
