Escherichia coli	GO:0005524	ATP binding	1998	0.1293
Escherichia coli	GO:0046872	metal ion binding	1454	0.0941
Escherichia coli	GO:0000287	magnesium ion binding	1243	0.0804
Escherichia coli	GO:0016887	ATP hydrolysis activity	1002	0.0649
Escherichia coli	GO:0051082	unfolded protein binding	898	0.0581
Escherichia coli	GO:0008661	1-deoxy-D-xylulose-5-phosphate synthase activity	508	0.0329
Escherichia coli	GO:0030976	thiamine pyrophosphate binding	508	0.0329
Escherichia coli	GO:0009030	thiamine-phosphate kinase activity	422	0.0273
Escherichia coli	GO:0003677	DNA binding	392	0.0254
Escherichia coli	GO:0030145	manganese ion binding	362	0.0234
Escherichia coli	GO:0004672	protein kinase activity	352	0.0228
Escherichia coli	GO:0004674	protein serine/threonine kinase activity	352	0.0228
Escherichia coli	GO:0004712	protein serine/threonine/tyrosine kinase activity	352	0.0228
Escherichia coli	GO:0010698	acetyltransferase activator activity	352	0.0228
Escherichia coli	GO:0042802	identical protein binding	352	0.0228
Escherichia coli	GO:0106310	protein serine kinase activity	352	0.0228
Escherichia coli	GO:0030604	1-deoxy-D-xylulose-5-phosphate reductoisomerase activity	332	0.0215
Escherichia coli	GO:0070402	NADPH binding	332	0.0215
Escherichia coli	GO:0051539	4 iron, 4 sulfur cluster binding	324	0.0210
Escherichia coli	GO:0051745	4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity	324	0.0210
Escherichia coli	GO:0015930	glutamate synthase activity	321	0.0208
Escherichia coli	GO:0051538	3 iron, 4 sulfur cluster binding	321	0.0208
Escherichia coli	GO:0004789	thiamine-phosphate diphosphorylase activity	303	0.0196
Escherichia coli	GO:0008685	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity	302	0.0195
Escherichia coli	GO:0008081	phosphoric diester hydrolase activity	212	0.0137
Escherichia coli	GO:0008773	[protein-PII] uridylyltransferase activity	212	0.0137
Escherichia coli	GO:0016853	isomerase activity	96	0.0062
Escherichia coli	GO:0008270	zinc ion binding	89	0.0058
Escherichia coli	GO:0000155	phosphorelay sensor kinase activity	85	0.0055
Escherichia coli	GO:0016740	transferase activity	82	0.0053
Escherichia coli	GO:0050518	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity	76	0.0049
Escherichia coli	GO:0004150	dihydroneopterin aldolase activity	75	0.0049
Escherichia coli	GO:0016787	hydrolase activity	69	0.0045
