Q966H1	P91129
O01864	O62305
G5ECZ5	Q95XZ5
P91276	G5EDT1
Q18136	Q9XWF3
P91137	O45764
Q21105	J7SF92
G5ECG2	E4MVD4
G5EGA3	Q20757
Q9XV52	Q95XN2
G5ED68	O62519
P17488	P34663
O45934	P49048
C6KRN3	Q11080
Q09990	Q93161
Q9BKZ7	Q9XX17
P90922	O44984
G5ED99	Q21633
O17551	I2HAB7
Q8MXF1	Q20643
Q23406	Q19642
P41996	Q95QG1
H2L274	Q9XV31
G5EEG9	Q2V078
Q23623	Q19329
O44498	Q10010
Q86DA8	Q22703
Q17432	Q9TY00
P34686	A0A131MBT2
H2KYD4	Q95ZK7
Q9XUE7	O44552
Q9N4V5	Q22846
Q95QL2	P54688
Q19020	Q9N492
H2KYQ3	Q9TYP9
Q20666	Q22935
Q23310	Q9GYM5
V6CLY3	Q9NAA1
Q93250	P48727
Q20935	Q23120
Q9XTY1	Q18311
Q56VY2	Q21377
O44727	Q20199
Q10454	Q9TZC4
A5JYR6	Q9N337
H2KZW2	G4S4W1
Q09603	Q9UAV8
H2L2H0	P24349
Q9XWF1	O01805
Q067Y1	Q95Y97
P52275	B2FDA8
Q19842	Q20605
H2KYL0	Q20440
Q9TZB6	Q23504
Q18200	A0A0K3ASI8
Q9XXR3	Q22875
O01590	Q09228
Q9BL15	Q95XC4
Q09501	Q18200
Q9TZD9	G5EDB6
Q23602	Q95XK5
P90920	Q9NA71
Q21342	O16537
G5EF50	K8ERV5
Q20480	P20268
G5EGI5	A4UVK2
G5EEX4	Q9XV44
P34391	O17614
Q20760	O17403
O18235	J7SF87
A0A2C9C2Y0	Q9XV36
Q21086	O45713
H2KZR5	Q93551
G1K0Z8	O45559
Q09380	O17972
Q8MXF1	P54813
Q20394	B3WFV7
Q9U385	Q9TYU5
Q19642	Q21650
Q9U2L2	V6CLU0
P53014	Q21962
Q21164	G5EE12
P48458	Q9XUP4
O02109	O45819
O16296	Q18618
Q18406	Q9BIF4
O02060	Q9XUJ5
Q9GZH5	Q20655
Q9N2V6	Q17478
Q10902	Q9N492
Q06561	Q23628
Q9XU10	Q18217
Q23124	Q17446
Q18170	Q9NAF8
Q09293	E9P8A1
Q17456	P52716
Q23206	Q21736
Q17339	G5EBR7
Q9XV62	Q17820
Q9XWH0	O17811
Q21986	Q22766
G5EDE9	H2L2E7
O02273	H2KYD9
Q19469	Q7JKY3
O76663	Q9XU65
Q7YWU9	O01913
Q93338	Q95PY4
O44782	Q94231
G5EDY2	O01479
O01426	G5EDN6
